first,last,team,cost,total_points,goals_scored,assists,clean_sheets,minutes,popularity,play_chance
Iwan,Morgan,4,4.5,0,0,0,0,0,0.0,
Benjamin,Fredrick,4,4.0,0,0,0,0,0,0.0,
Simon,Adingra,5,5.1,57,2,3,2,972,0.3,100.0
Benicio,Baker-Boaitey,5,4.5,0,0,0,0,0,0.0,0.0
Carlos,Baleba,5,5.0,83,3,1,8,2480,0.2,100.0
Valentín,Barco,5,4.0,0,0,0,0,0,1.9,0.0
Amario,Cozier-Duberry,5,4.5,0,0,0,0,0,0.0,0.0
Mahmoud,Dahoud,5,4.9,0,0,0,0,0,0.0,0.0
Lewis,Dunk,5,4.2,44,0,1,4,2081,2.3,100.0
Pervis,Estupiñán,5,4.9,62,1,1,3,2309,1.2,100.0
Billy,Gilmour,5,5.0,3,0,0,0,97,0.0,0.0
Pascal,Groß,5,6.5,0,0,0,0,0,0.0,0.0
Jack,Hinshelwood,5,4.9,68,2,3,6,1743,0.1,100.0
Ibrahim,Osman,5,5.0,0,0,0,0,0,0.0,0.0
Igor Julio,dos Santos de Paulo,5,4.3,17,0,0,1,900,0.1,100.0
João Pedro,Junqueira de Jesus,5,5.5,126,10,6,6,1946,8.7,100.0
Kacper,Kozłowski,5,4.5,0,0,0,0,0,0.0,0.0
Tariq,Lamptey,5,4.4,42,2,2,2,856,0.2,100.0
Solly,March,5,6.5,7,0,0,0,161,0.0,0.0
Adrian,Mazilu,5,4.5,0,0,0,0,0,0.0,0.0
James,Milner,5,5.0,5,0,0,1,169,0.0,0.0
Yankuba,Minteh,5,4.8,98,6,5,4,1658,1.0,100.0
Mitoma,Kaoru,5,6.3,135,9,4,6,2527,6.1,75.0
Jakub,Moder,5,4.4,4,0,0,0,9,0.4,0.0
Mark,O’Mahony,5,4.5,0,0,0,0,0,0.2,0.0
Odeluga,Offiah,5,4.0,0,0,0,0,0,0.1,0.0
Cameron,Peupion,5,4.4,0,0,0,0,0,0.0,0.0
Jeremy,Sarmiento Morante,5,4.9,1,0,0,0,8,0.0,0.0
Jason,Steele,5,4.0,9,0,0,1,180,0.7,100.0
Deniz,Undav,5,5.5,0,0,0,0,0,0.0,0.0
Jan Paul,van Hecke,5,4.5,84,1,1,7,2780,0.7,100.0
Joël,Veltman,5,4.3,59,0,0,6,1663,1.1,100.0
Bart,Verbruggen,5,4.6,99,0,1,7,3060,2.5,100.0
Adam,Webster,5,4.3,34,0,0,4,705,0.1,100.0
Danny,Welbeck,5,5.5,120,10,4,7,2026,6.2,100.0
Mats,Wieffer,5,4.7,48,1,5,2,823,0.1,100.0
Brajan,Gruda,5,5.4,37,1,3,1,529,0.0,100.0
Yasin,Ayari,5,5.0,64,1,1,7,1840,0.0,100.0
Andrew,Moran,5,5.0,0,0,0,0,0,0.0,0.0
Carl,Rushworth,5,3.9,0,0,0,0,0,0.1,100.0
Georginio,Rutter,5,5.0,95,5,6,6,1651,0.3,50.0
Ferdi,Kadioglu,5,4.4,19,1,0,2,385,0.1,0.0
Matt,O'Riley,5,5.5,40,1,2,2,898,0.0,100.0
Imari,Samuels,5,4.0,0,0,0,0,0,0.0,0.0
Killian,Cahill,5,3.9,0,0,0,0,0,0.9,
Ruairi,McConville,5,4.0,0,0,0,0,0,0.0,0.0
Jacob,Slater,5,4.0,0,0,0,0,0,0.0,
Diego,Gómez,5,5.5,18,0,0,0,446,0.0,100.0
Fabian,Hürzeler,5,1.1,90,0,0,0,0,1.3,
Joe,Knight,5,4.5,0,0,0,0,0,0.0,
Eiran,Cashin,5,4.5,1,0,0,0,19,0.0,
Charlie,Tasker,5,4.0,0,0,0,0,0,0.0,
Freddie,Simmonds,5,4.0,0,0,0,0,0,0.0,
Harry,Howell,5,4.5,0,0,0,0,0,0.0,
Andrey,Nascimento dos Santos,6,4.5,0,0,0,0,0,0.0,0.0
Ângelo Gabriel,Borges Damaceno,6,4.5,0,0,0,0,0,0.1,0.0
Benoît,Badiashile,6,4.2,7,0,0,0,332,0.1,100.0
Lucas,Bergström,6,3.9,0,0,0,0,0,0.2,
Marcus,Bettinelli,6,3.9,0,0,0,0,0,0.4,
Moisés,Caicedo Corozo,6,4.9,96,1,4,11,3261,1.0,
Cesare,Casadei,6,4.4,0,0,0,0,0,0.1,0.0
Trevoh,Chalobah,6,4.4,93,3,1,6,1969,0.8,100.0
Carney,Chukwuemeka,6,4.7,0,0,0,0,0,0.0,0.0
Levi,Colwill,6,4.4,94,1,1,9,3060,2.5,100.0
Marc,Cucurella Saseta,6,5.4,125,5,2,8,2898,10.9,100.0
David Datro,Fofana,6,5.4,0,0,0,0,0,0.1,0.0
Deivid Washington,de Souza Eugênio,6,4.9,0,0,0,0,0,0.1,0.0
Kiernan,Dewsbury-Hall,6,5.5,17,0,1,0,253,0.1,100.0
Enzo,Fernández,6,4.7,132,6,8,9,2853,4.2,100.0
Conor,Gallagher,6,5.9,0,0,0,0,0,0.1,0.0
Alfie,Gilchrist,6,4.0,0,0,0,0,0,0.0,0.0
Malo,Gusto,6,4.9,59,0,1,4,1841,1.4,100.0
Reece,James,6,4.8,48,1,2,2,967,0.9,100.0
Omari,Kellyman,6,4.3,0,0,0,0,0,0.1,0.0
Roméo,Lavia,6,4.5,25,0,1,3,764,0.4,100.0
Romelu,Lukaku Bolingoli,6,6.3,0,0,0,0,0,0.2,0.0
Malang,Sarr,6,4.5,0,0,0,0,0,0.0,0.0
Noni,Madueke,6,6.0,117,7,5,5,1943,3.2,100.0
Marc,Guiu Paz,6,4.7,3,0,0,0,71,0.4,25.0
Mykhailo,Mudryk,6,6.1,7,0,0,0,145,0.2,0.0
Nicolas,Jackson,6,7.7,121,10,6,11,2220,6.4,0.0
Christopher,Nkunku,6,5.7,60,3,2,2,904,2.0,50.0
Cole,Palmer,6,10.5,211,15,10,9,3103,35.0,100.0
Đorđe,Petrović,6,4.4,0,0,0,0,0,0.1,0.0
Renato,Palma Veiga,6,4.4,7,0,0,1,176,0.1,0.0
Robert,Sánchez,6,4.5,120,0,0,9,2790,6.2,100.0
Tosin,Adarabioyo,6,4.2,65,1,1,6,1313,0.3,
Wesley,Fofana,6,4.3,26,0,0,2,1172,0.2,0.0
Jadon,Sancho,6,6.2,83,3,5,6,1693,0.9,100.0
Pedro,Lomba Neto,6,6.1,98,4,5,7,2185,1.5,100.0
Caleb,Wiley,6,4.0,0,0,0,0,0,0.0,0.0
Filip,Jørgensen,6,4.2,18,0,0,1,540,0.4,100.0
João,Félix Sequeira,6,5.9,24,1,2,1,362,0.4,0.0
Samuel,Rak-Sakyi,6,4.5,0,0,0,0,0,0.0,
Tyrique,George,6,4.5,17,1,1,1,177,0.0,
Josh,Acheampong,6,4.0,4,0,0,0,168,0.1,
Enzo,Maresca,6,1.5,85,0,0,0,0,1.6,
Mathis,Amougou,6,4.5,1,0,0,0,7,0.0,
Aaron,Anselmino,6,4.0,0,0,0,0,0,0.0,100.0
Shumaira,Mheuka,6,4.5,1,0,0,0,1,0.0,
Ishé,Samuels-Smith,6,4.0,0,0,0,0,0,0.0,
Genesis,Antwi,6,4.0,0,0,0,0,0,0.0,
Eddie,Nketiah,7,5.9,39,1,2,2,910,0.6,100.0
Ben,Chilwell,7,4.6,6,0,0,0,164,0.5,100.0
Naouirou,Ahamada,7,4.5,0,0,0,0,0,0.1,0.0
Cheick,Doucouré,7,4.8,19,0,1,1,443,0.0,0.0
Chris,Richards,7,4.4,65,1,1,7,1741,0.2,100.0
Chadi,Riad Dnanou,7,4.3,1,0,0,0,90,0.0,0.0
Nathaniel,Clyne,7,4.3,18,0,0,1,477,0.1,
Malcolm,Ebiowei,7,4.5,0,0,0,0,0,0.0,0.0
Eberechi,Eze,7,7.0,139,7,8,9,2518,14.9,100.0
Marc,Guéhi,7,4.7,116,3,2,11,3059,6.2,100.0
Dean,Henderson,7,4.6,132,0,0,11,3240,12.2,100.0
Rob,Holding,7,4.2,0,0,0,0,0,0.1,0.0
Will,Hughes,7,4.9,63,0,4,9,1977,0.0,100.0
Daichi,Kamada,7,5.1,42,0,0,3,1436,0.1,100.0
Jefferson,Lerma Solís,7,4.8,54,0,1,6,2090,0.1,100.0
Jean-Philippe,Mateta,7,7.5,147,14,2,8,2572,9.6,100.0
Matheus,França de Oliveira,7,4.4,7,1,0,0,24,0.2,100.0
Remi,Matthews,7,3.9,0,0,0,0,0,0.4,
Tyrick,Mitchell,7,4.8,118,0,5,12,3000,2.2,
Daniel,Muñoz,7,5.2,139,4,6,11,3049,20.4,100.0
David,Ozoh,7,4.5,0,0,0,0,0,0.0,0.0
Jesurun,Rak-Sakyi,7,4.5,0,0,0,0,0,0.0,0.0
Jeffrey,Schlupp,7,4.6,12,0,0,0,95,0.0,0.0
Joel,Ward,7,4.3,1,0,0,0,1,0.1,100.0
Adam,Wharton,7,4.7,42,0,2,4,1314,0.1,100.0
Matt,Turner,7,3.9,0,0,0,0,0,7.3,100.0
Ismaïla,Sarr,7,5.6,135,7,6,10,2556,6.6,100.0
Franco,Umeh-Chibueze,7,4.4,0,0,0,0,0,0.0,100.0
Justin,Devenny,7,4.5,29,1,0,0,421,0.1,
Asher,Agbinone,7,4.5,2,0,0,0,4,0.0,0.0
Kaden,Rodney,7,4.5,0,0,0,0,0,0.0,
Maxence,Lacroix,7,4.5,111,1,2,11,2936,1.0,100.0
Caleb,Kporha,7,4.0,2,0,0,0,11,0.0,
Zach,Marsh,7,4.5,0,0,0,0,0,0.2,
Romain,Esse,7,4.7,12,1,0,0,44,0.1,100.0
Oliver,Glasner,7,0.8,109,0,0,0,0,1.2,
Armando,Broja,8,5.3,12,0,0,2,327,0.1,100.0
Abdoulaye,Doucouré,8,5.1,93,3,2,11,2549,0.6,100.0
Norberto Bercique,Gomes Betuncal,8,4.9,85,8,0,3,1434,4.6,
Jarrad,Branthwaite,8,4.9,88,0,1,9,2509,2.5,100.0
Dominic,Calvert-Lewin,8,5.4,62,3,2,8,1600,1.0,100.0
Séamus,Coleman,8,4.3,5,0,0,0,214,0.0,100.0
Idrissa,Gueye,8,4.8,87,0,3,11,2973,0.2,100.0
James,Garner,8,4.9,40,0,1,4,1500,0.0,100.0
Jack,Harrison,8,5.2,78,1,3,6,1978,0.2,100.0
Mason,Holgate,8,4.0,1,0,0,0,5,0.1,0.0
Tim,Iroegbunam,8,4.3,22,0,1,0,562,0.6,100.0
